File extension(s)[1] ,Official name[3] 
.7z ,7z 
.s7z ,7zX 
.ace ,ACE 
.afa ,AFA 
.alz ,ALZip 
.apk ,APK 
".arc, .ark ",ARC 
".arc, .cdx ",FreeArc 
.arj ,ARJ 
.b1 ,B1 
.b6z ,B6Z 
.ba ,Scifer 
.bh ,BlakHole 
.cab ,Cabinet 
.car ,Compressia archive 
.cfs ,Compact File Set 
.cpt ,Compact Pro 
.dar ,Disk Archiver 
.dd ,DiskDoubler 
.dgc ,DGCA 
.dmg ,Apple Disk Image 
.ear ,EAR 
.gca ,GCA 
.genozip ,Genozip 
.ha ,[2] 
.hki ,WinHKI 
.ice ,ICE 
.jar ,JAR 
.kgb ,KGB Archiver 
".lzh, .lha ",LHA 
.lzx ,LZX 
.pak ,PAK 
.partimg ,PartImage 
".paq6, .paq7, .paq8 and variants ",PAQ 
.pea ,PeaZip 
.phar ,PHAR 
.pim ,PIM 
.pit ,PackIt 
.qda ,Quadruple D 
.rar ,RAR 
.rk ,RK and WinRK [3] 
.sda ,Self Dissolving ARChive 
.sea ,Self Extracting Archive 
.sen ,Scifer 
.sfx ,Self Extracting Archive 
.shk ,NuFX 
.sit ,StuffIt 
.sitx ,StuffIt X 
.sqx ,SQX 
".tar.gz, .tgz, .tar.Z, .tar.bz2,
.tbz2, .tar.lz, .tlz. .tar.xz, .txz, .tar.zst ","tar with gzip, compress, bzip2, lzip, or xz "
.uc .uc0 .uc2 .ucn .ur2 .ue2 ,UltraCompressor II 
.uca ,PerfectCompress[10] 
.uha ,UHarc 
.war ,WAR 
.wim ,Windows Image 
.xar ,XAR 
.xp3 ,KiriKiri 
.yz1 ,YZ1 
".zip, .zipx ",ZIP 
.zoo ,zoo 
.zpaq ,ZPAQ 
.zz ,Zzip 
